Yes,Female,between 25 and 34 years old,Trento,I am a student,iOS (iPhone),1 to 3 times per week,4 to 7 times per week,I do not use it,,I do not use it,I do not use it,I do not use it,I do not use it,Bus + Train,I check the Internet.,"Work/Internship, Home (own or relatives'), University/School","Lack of reliability in suggested routes, Delays or inaccurate arrival times, Incorrect departure or arrival times",Yes,,Every day,Good,Average,Good,Good,Bad,4,4,,,,,,,,Yes,No,Ugly and gay,,,,,,,,,,,,,,,,
Yes,Female,between 25 and 34 years old,Trento,"I am a student and I work (internship, etc.)",iOS (iPhone),4 to 7 times per week,4 to 7 times per week,I do not use it,I do not use it,I do not use it,I do not use it,I do not use it,I do not use it,Bus + Train,"I check the Internet., I look at the posted signs","Work/Internship, University/School","Confusing or unclear route planning, Inaccurate travel time estimates, Incorrect departure or arrival times",Yes,,4 to 6 times per week,Average,Bad,Average,Good,Bad,4,3,,,,,,,,"More accurate or consistent real-time public transport updates, More detailed transit info (e.g. stop names, platform numbers), More customizable routing options (e.g. avoid stairs, reduce walking)",No,"Less accurate or delayed real-time info, Fewer transit details compared to Google Maps, Prefer Google ecosystem or apps",,,,,,,,,,,,,,,,
Yes,Female,between 18 and 24 years old,Rovereto,I am a student,iOS (iPhone),Only on weekends,I use it without a defined frequency,I do not use it,I do not use it,I do not use it,I do not use it,I do not use it,I do not use it,I do not combine public transport modes,"I ask the people around me., I check the Internet.","Leisure/Outing, University/School, Educational or training courses","Delays or inaccurate arrival times, No real-time crowding information, Unexpected route changes not updated",Yes,,1 to 3 times per week,Good,Average,Average,Good,Average,4,4,3,4,3,2,4,2,3,"More detailed transit info (e.g. stop names, platform numbers), More customizable routing options (e.g. avoid stairs, reduce walking), The platform numbers + real time updates (e.g. strikes)  ",No,"Limited to Apple devices, Not familiar with the interface, Prefer Google ecosystem or apps",,,,,,,,,,,,,,,,
Yes,Female,between 25 and 34 years old,Trento,I am a student,iOS (iPhone),4 to 7 times per week,I do not use it,I do not use it,I do not use it,I do not use it,I do not use it,I do not use it,1 to 3 times per month,Bus + Train,I check the Internet.,"Home (own or relatives'), Leisure/Outing, University/School","Lack of real-time updates, No details about comfort or service quality (accessibility, crowds, comfort, etc.)",Yes,,Every day,Excellent,Terrible,Good,Good,Terrible,4,3,1,5,5,5,5,3,4,"More accurate or consistent real-time public transport updates, Broader public transport coverage in more cities or regions, Ability to download public transport routes for offline use",No,"Not familiar with the interface, Prefer Google ecosystem or apps",,,,,,,,,,,,,,,,
Yes,Female,between 25 and 34 years old,Trento,I am a student,Android,4 to 7 times per week,1 to 3 times per month,1 to 3 times per month,1 to 3 times per month,Only on weekends,Only on weekends,Only on weekends,Only on weekends,Bus + Train,I check the Internet.,"Leisure/Outing, University/School","Incomplete or missing transport information, Inaccurate or unreliable route and time data, Lack of real-time updates, Poor route planning, usability, and/or unclear directions, No details about comfort or service quality (accessibility, crowds, comfort, etc.)",Yes,,Every day,Average,Average,Average,Good,Bad,4,4,3,3,3,4,3,3,2,"More accurate or consistent real-time public transport updates, Broader public transport coverage in more cities or regions, Ability to download public transport routes for offline use, More detailed transit info (e.g. stop names, platform numbers), Better multi-modal trip planning (e.g. walk + bus + train in one route), More customizable routing options (e.g. avoid stairs, reduce walking)",No,"Limited to Apple devices, Prefer Google ecosystem or apps",,,,,,,,,,,,,,,,
Yes,Male,between 18 and 24 years old,Trento,I am a student,Android,I use it without a defined frequency,4 to 7 times per week,I do not use it,I do not use it,I do not use it,I do not use it,I do not use it,I do not use it,I do not combine public transport modes,I check the Internet.,"Home (own or relatives'), Leisure/Outing, University/School","Incomplete or missing transport information, Inaccurate or unreliable route and time data, Lack of real-time updates, No details about comfort or service quality (accessibility, crowds, comfort, etc.)",Yes,,4 to 6 times per week,Average,Bad,Good,Average,Excellent,3,2,2,3,4,4,3,4,3,"More accurate or consistent real-time public transport updates, Broader public transport coverage in more cities or regions, Ability to download public transport routes for offline use, More detailed transit info (e.g. stop names, platform numbers), More customizable routing options (e.g. avoid stairs, reduce walking), More safety information about bus stops and train stations. For example lighting and other conditions",No,"Limited to Apple devices, Prefer Google ecosystem or apps",,,,,,,,,,,,,,,,
Yes,Male,between 18 and 24 years old,Trento,I am a student,iOS (iPhone),1 to 3 times per month,1 to 3 times per month,I do not use it,I do not use it,I do not use it,I do not use it,I do not use it,1 to 3 times per week,Bus + Train,"I check posted signage., I check the Internet.","Home (own or relatives'), Leisure/Outing, University/School",Lack of real-time updates,Yes,,4 to 6 times per week,Good,Average,Average,Good,Average,4,4,3,4,4,4,2,3,3,"More accurate or consistent real-time public transport updates, More detailed transit info (e.g. stop names, platform numbers)",No,"Less accurate or delayed real-time info, Not familiar with the interface",,,,,,,,,,,,,,,,
Yes,Female,between 25 and 34 years old,Italy,I am a student,Android,4 to 7 times per week,1 to 3 times per week,I do not use it,I do not use it,I do not use it,I do not use it,I do not use it,I do not use it,Bus + Train,"I ask the people around me., I check the Internet.","Home (own or relatives'), Leisure/Outing, University/School","Inaccurate or unreliable route and time data, Lack of real-time updates, No details about comfort or service quality (accessibility, crowds, comfort, etc.)",Yes,,4 to 6 times per week,Average,Bad,Good,Average,Average,3,4,3,2,4,2,2,2,2,"More accurate or consistent real-time public transport updates, Broader public transport coverage in more cities or regions, Ability to download public transport routes for offline use, Better multi-modal trip planning (e.g. walk + bus + train in one route), More customizable routing options (e.g. avoid stairs, reduce walking)",No,Limited to Apple devices,,,,,,,,,,,,,,,,
Yes,Male,between 25 and 34 years old,Milano,I am employed,Android,I do not use it,1 to 3 times per month,4 to 7 times per week,1 to 3 times per week,I do not use it,I do not use it,I do not use it,1 to 3 times per week,I do not combine public transport modes,"I check posted signage., I check the Internet.","Work/Internship, Home (own or relatives'), Leisure/Outing","Inaccurate or unreliable route and time data, Lack of real-time updates, No details about comfort or service quality (accessibility, crowds, comfort, etc.)",Yes,,4 to 6 times per week,Good,Average,Good,Average,Bad,4,5,3,3,1,2,1,1,3,"More accurate or consistent real-time public transport updates, Broader public transport coverage in more cities or regions, Ability to download public transport routes for offline use, More detailed transit info (e.g. stop names, platform numbers), Better multi-modal trip planning (e.g. walk + bus + train in one route), More customizable routing options (e.g. avoid stairs, reduce walking)",No,Limited to Apple devices,,,,,,,,,,,,,,,,
Yes,Female,between 25 and 34 years old,Rovereto,I am a student,Android,1 to 3 times per week,1 to 3 times per week,I do not use it,I do not use it,I do not use it,I do not use it,I do not use it,4 to 7 times per week,I do not combine public transport modes,"I check posted signage., I check the Internet., google maps","Work/Internship, Home (own or relatives'), Educational or training courses","Incomplete or missing transport information, Inaccurate or unreliable route and time data, Lack of real-time updates",Yes,,4 to 6 times per week,Good,Average,Bad,Good,Terrible,4,4,1,2,5,5,,4,4,"More accurate or consistent real-time public transport updates, More customizable routing options (e.g. avoid stairs, reduce walking)",No,"Limited to Apple devices, Prefer Google ecosystem or apps",,,,,,,,,,,,,,,,
Yes,Female,between 35 and 44 years old,Rome,I am employed,Android,I use it without a defined frequency,1 to 3 times per week,I use it without a defined frequency,I use it without a defined frequency,I use it without a defined frequency,I do not use it,I do not use it,1 to 3 times per week,I do not combine public transport modes,I check the Internet.,Work/Internship,"Inaccurate or unreliable route and time data, Lack of real-time updates",Yes,,4 to 6 times per week,Average,Average,Good,Excellent,Bad,4,4,3,3,5,3,2,4,4,More accurate or consistent real-time public transport updates,No,Limited to Apple devices,,,,,,,,,,,,,,,,
Yes,Male,between 25 and 34 years old,Rovereto,I am employed,Android,I use it without a defined frequency,1 to 3 times per week,I do not use it,I do not use it,I do not use it,I do not use it,I do not use it,4 to 7 times per week,Bus + Train,"I check posted signage., I check the Internet.","Work/Internship, Leisure/Outing",Lack of real-time updates,Yes,,4 to 6 times per week,Good,Average,Good,Average,Average,3,4,4,4,5,3,2,4,5,"More accurate or consistent real-time public transport updates, Broader public transport coverage in more cities or regions, More detailed transit info (e.g. stop names, platform numbers), Better multi-modal trip planning (e.g. walk + bus + train in one route), More customizable routing options (e.g. avoid stairs, reduce walking)",No,"Less accurate or delayed real-time info, Limited to Apple devices",,,,,,,,,,,,,,,,
Yes,Female,between 18 and 24 years old,Amsterdam,"I am a student and I work (internship, etc.)",iOS (iPhone),I do not use it,I use it without a defined frequency,4 to 7 times per week,1 to 3 times per month,I do not use it,I do not use it,I use it without a defined frequency,I use it without a defined frequency,I do not combine public transport modes,"I check posted signage., I check the Internet.","Work/Internship, Home (own or relatives'), Leisure/Outing","Incomplete or missing transport information, Lack of real-time updates",Yes,,4 to 6 times per week,Good,Bad,Bad,Good,Average,4,4,2,4,4,4,2,2,4,"More accurate or consistent real-time public transport updates, Ability to download public transport routes for offline use, Better multi-modal trip planning (e.g. walk + bus + train in one route), More customizable routing options (e.g. avoid stairs, reduce walking)",No,"Limited to Apple devices, Prefer Google ecosystem or apps",,,,,,,,,,,,,,,,
Yes,Female,between 35 and 44 years old,Trento,I am a student,Android,4 to 7 times per week,1 to 3 times per month,I use it without a defined frequency,I use it without a defined frequency,I do not use it,I do not use it,I do not use it,I do not use it,Bus + Train,"I check posted signage., I check the Internet.","Work/Internship, Leisure/Outing, University/School","Incomplete or missing transport information, Inaccurate or unreliable route and time data, Lack of real-time updates",Yes,,4 to 6 times per week,Average,Terrible,Bad,Average,Average,3,3,1,2,4,2,3,4,2,"More accurate or consistent real-time public transport updates, More detailed transit info (e.g. stop names, platform numbers), Better multi-modal trip planning (e.g. walk + bus + train in one route), I want to see the times not the minutes to next arrival for the next 10 buses, this is useless when match train times",No,Limited to Apple devices,,,,,,,,,,,,,,,,
Yes,Male,between 25 and 34 years old,Verona ,"I am a student and I work (internship, etc.)",iOS (iPhone),4 to 7 times per week,4 to 7 times per week,I do not use it,I do not use it,I use it without a defined frequency,I do not use it,I do not use it,I use it without a defined frequency,Bus + Train,"I check posted signage., I check the Internet.","Work/Internship, Home (own or relatives'), University/School","Incomplete or missing transport information, Inaccurate or unreliable route and time data",Yes,,1 to 3 times per week,Good,Average,Average,Good,Average,4,4,3,4,4,4,4,3,3,"More accurate or consistent real-time public transport updates, Broader public transport coverage in more cities or regions, More customizable routing options (e.g. avoid stairs, reduce walking)",Yes,,I use it occasionally,Average,Bad,Average,Average,Average,3,3,2,2,3,3,4,4,1,"More accurate or consistent real-time public transport updates, Broader public transport coverage in more cities or regions, More detailed transit info (e.g. stop names, platform numbers)"
Yes,Female,between 25 and 34 years old,Trento,I am a student,iOS (iPhone),4 to 7 times per week,I use it without a defined frequency,I use it without a defined frequency,I do not use it,I do not use it,I do not use it,I use it without a defined frequency,I do not use it,I do not combine public transport modes,I check the Internet.,University/School,Inaccurate or unreliable route and time data,Yes,,Every day,Average,Average,Average,Average,Terrible,3,3,3,3,2,4,1,2,3,Ability to download public transport routes for offline use,No,Not familiar with the interface,,,,,,,,,,,,,,,,
Yes,Male,between 18 and 24 years old,Trento,I am a student,Android,4 to 7 times per week,4 to 7 times per week,I use it without a defined frequency,I do not use it,I do not use it,I do not use it,I do not use it,4 to 7 times per week,Bus + Train,"I check the Internet., Maps, Trentino Trasporti app","Leisure/Outing, University/School","Incomplete or missing transport information, Inaccurate or unreliable route and time data, Lack of real-time updates, Poor route planning, usability, and/or unclear directions",Yes,,Every day,Excellent,Excellent,Good,Good,Good,4,4,1,4,5,5,4,4,4,"More accurate or consistent real-time public transport updates, Ability to download public transport routes for offline use, More detailed transit info (e.g. stop names, platform numbers), Better multi-modal trip planning (e.g. walk + bus + train in one route)",No,"Limited to Apple devices, Prefer Google ecosystem or apps",,,,,,,,,,,,,,,,
Yes,Female,between 25 and 34 years old,Trento,I am a student,iOS (iPhone),4 to 7 times per week,I use it without a defined frequency,I do not use it,I do not use it,I do not use it,I do not use it,I do not use it,1 to 3 times per month,Bus + Train,I check the Internet.,"Leisure/Outing, University/School","Incomplete or missing transport information, Lack of real-time updates, Poor route planning, usability, and/or unclear directions",Yes,,Every day,Average,Average,Average,Good,Average,4,4,3,3,3,3,3,3,3,"More accurate or consistent real-time public transport updates, Broader public transport coverage in more cities or regions, Ability to download public transport routes for offline use, More detailed transit info (e.g. stop names, platform numbers), More customizable routing options (e.g. avoid stairs, reduce walking)",No,Prefer Google ecosystem or apps,,,,,,,,,,,,,,,,
Yes,Female,between 18 and 24 years old,"Almaty, Kazakhstan","I am a student and I work (internship, etc.)",iOS (iPhone),I do not use it,I do not use it,I do not use it,I do not use it,I do not use it,I do not use it,1 to 3 times per week,4 to 7 times per week,I do not combine public transport modes,I check the Internet.,"Work/Internship, Home (own or relatives'), University/School","Lack of real-time updates, Poor route planning, usability, and/or unclear directions",Yes,,I use it occasionally,Good,Excellent,Excellent,Average,Average,3,3,4,3,4,5,4,5,3,"Better multi-modal trip planning (e.g. walk + bus + train in one route), More customizable routing options (e.g. avoid stairs, reduce walking)",Yes,,Every day,Good,Good,Good,Good,Good,5,4,2,2,4,5,5,5,5,"More detailed transit info (e.g. stop names, platform numbers), Better multi-modal trip planning (e.g. walk + bus + train in one route)"
Yes,Female,between 18 and 24 years old,Trento,I am a student,iOS (iPhone),I use it without a defined frequency,I use it without a defined frequency,I do not use it,I do not use it,I use it without a defined frequency,I do not use it,I do not use it,I use it without a defined frequency,I do not combine public transport modes,I check the Internet.,"University/School, Visiting friends in other cities",Lack of real-time updates,Yes,,4 to 6 times per week,Good,Bad,Good,Good,Good,4,4,3,4,5,5,3,3,4,"Ability to download public transport routes for offline use, More customizable routing options (e.g. avoid stairs, reduce walking)",No,"Less accurate or delayed real-time info, Fewer transit details compared to Google Maps, Not familiar with the interface",,,,,,,,,,,,,,,,
Yes,Male,between 25 and 34 years old,New York,I am employed,iOS (iPhone),I do not use it,1 to 3 times per month,1 to 3 times per month,I do not use it,I do not use it,I use it without a defined frequency,I do not use it,4 to 7 times per week,I do not combine public transport modes,I check the Internet.,"Work/Internship, Home (own or relatives'), University/School","Lack of real-time updates, No details about comfort or service quality (accessibility, crowds, comfort, etc.)",Yes,,I use it occasionally,Average,Average,Good,Bad,Excellent,3,3,2,5,2,1,2,5,5,"More accurate or consistent real-time public transport updates, More detailed transit info (e.g. stop names, platform numbers), More customizable routing options (e.g. avoid stairs, reduce walking)",Yes,,Every day,Excellent,Excellent,Good,Excellent,Average,5,4,4,3,5,5,5,4,5,"More accurate or consistent real-time public transport updates, Broader public transport coverage in more cities or regions, More detailed transit info (e.g. stop names, platform numbers), Better multi-modal trip planning (e.g. walk + bus + train in one route), More customizable routing options (e.g. avoid stairs, reduce walking)"
Yes,Male,between 18 and 24 years old,Warsaw 🇵🇱,I am a student,iOS (iPhone),I use it without a defined frequency,I use it without a defined frequency,4 to 7 times per week,1 to 3 times per week,4 to 7 times per week,I do not use it,I do not use it,I use it without a defined frequency,Metro + bike sharing.,"I check the Internet., I check a digital departures board.","Home (own or relatives'), Leisure/Outing, University/School",Lack of real-time updates,Yes,,I use it occasionally,Average,Good,Bad,Average,Bad,2,3,4,4,4,2,3,2,4,"Broader public transport coverage in more cities or regions, More detailed transit info (e.g. stop names, platform numbers), Better multi-modal trip planning (e.g. walk + bus + train in one route)",Yes,,Every day,Good,Bad,Good,Excellent,Average,5,4,2,3,5,5,3,5,5,"More accurate or consistent real-time public transport updates, Broader public transport coverage in more cities or regions, More detailed transit info (e.g. stop names, platform numbers), Better multi-modal trip planning (e.g. walk + bus + train in one route)"
Yes,Male,between 25 and 34 years old,"London, England ",I am employed,iOS (iPhone),1 to 3 times per month,4 to 7 times per week,4 to 7 times per week,I do not use it,I do not use it,I do not use it,I do not use it,I do not use it,Train + metro,"I check posted signage., I check the Internet.","Work/Internship, Home (own or relatives'), Leisure/Outing",Lack of real-time updates,Yes,,Every day,Bad,Average,Average,Bad,Good,1,4,3,3,3,4,3,3,3,More accurate or consistent real-time public transport updates,Yes,,Every day,Excellent,Good,Good,Excellent,Average,5,4,4,2,3,4,4,2,5,Broader public transport coverage in more cities or regions
Yes,Female,between 18 and 24 years old,Saint Petersburg,I am employed,iOS (iPhone),1 to 3 times per week,I do not use it,4 to 7 times per week,1 to 3 times per month,I do not use it,I do not use it,I use it without a defined frequency,I do not use it,Bus + Metro,I check the Internet.,"Work/Internship, Home (own or relatives'), Leisure/Outing",Lack of real-time updates,Yes,,Every day,Good,Bad,Good,Excellent,Bad,5,4,2,2,3,5,2,2,2,"More accurate or consistent real-time public transport updates, Better multi-modal trip planning (e.g. walk + bus + train in one route)",No,"Fewer transit details compared to Google Maps, Prefer Google ecosystem or apps",,,,,,,,,,,,,,,,
Yes,Female,between 25 and 34 years old,Milan,"I am a student and I work (internship, etc.)",iOS (iPhone),4 to 7 times per week,I use it without a defined frequency,4 to 7 times per week,Only on weekends,I use it without a defined frequency,I use it without a defined frequency,I use it without a defined frequency,I do not use it,Bus+Metro,"I check posted signage., I check the Internet.","Home (own or relatives'), Leisure/Outing, University/School",Incomplete or missing transport information,Yes,,Every day,Excellent,Bad,Excellent,Average,Average,3,4,3,4,3,5,5,3,3,"Broader public transport coverage in more cities or regions, More detailed transit info (e.g. stop names, platform numbers), Better multi-modal trip planning (e.g. walk + bus + train in one route)",No,Prefer Google ecosystem or apps,,,,,,,,,,,,,,,,
Yes,Female,between 18 and 24 years old,Trento,I am a student,Android,4 to 7 times per week,I use it without a defined frequency,I use it without a defined frequency,I do not use it,I do not use it,I do not use it,I do not use it,I do not use it,I do not combine public transport modes,I don’t look for this information.,"Home (own or relatives'), University/School, Hospital/Doctor","Incomplete or missing transport information, Lack of real-time updates",Yes,,4 to 6 times per week,Good,Bad,Average,Excellent,Average,5,4,2,4,4,4,3,4,4,"More accurate or consistent real-time public transport updates, Broader public transport coverage in more cities or regions",No,Limited to Apple devices,,,,,,,,,,,,,,,,
Yes,Male,between 18 and 24 years old,Dublin,I am a student,"Both, I have more than one phone",4 to 7 times per week,1 to 3 times per month,I do not use it,1 to 3 times per week,I use it without a defined frequency,I use it without a defined frequency,I use it without a defined frequency,I do not use it,Bus + Train,"I check posted signage., I check the Internet.","Home (own or relatives'), University/School, Shopping center","Inaccurate or unreliable route and time data, Lack of real-time updates, Poor route planning, usability, and/or unclear directions",Yes,,Every day,Good,Average,Average,Good,Bad,4,3,2,1,1,4,4,2,2,"More accurate or consistent real-time public transport updates, Broader public transport coverage in more cities or regions, More detailed transit info (e.g. stop names, platform numbers), Better multi-modal trip planning (e.g. walk + bus + train in one route), More customizable routing options (e.g. avoid stairs, reduce walking)",Yes,,1 to 3 times per week,Average,Good,Average,Good,Average,5,3,3,1,3,3,4,2,5,"Broader public transport coverage in more cities or regions, More detailed transit info (e.g. stop names, platform numbers), More customizable routing options (e.g. avoid stairs, reduce walking)"
